вкус_пряный_тмин,1,Нравится тмин на вкус?,
аромат_грибной_трюфель,1,Хочешь попробовать трюфель?,
вкус_сухофрукты_изюм,1,Любишь изюм?,
вкус_сладкий_выпечка_заварной крем,1,Нравится вкус заварного крема?,вкус_сладкий_кремовый
аромат_цветочный_пион,1,Нравится запах пионов?,
аромат_пряный_мускус,1,Нравится мускусный запах?,
аромат_цветочный_акация,1,Любишь запах акации?,
вкус_пряный_кардамон,1,Нравится чай масала?,
вкус_сладкий_печеное ябоко,1,Любишь печеные яблоки на десерт?,
вкус_сладкий_какао,1,Будешь какао?,
вкус_сухофрукты_курага,1,Любишь курагу?,
вкус_фруктовый_нектарин,1,Нравятся некатрины?,
вкус_сладкий_сироп,1,Полил бы блинчики ягодным сиропом?,
аромат_горький_маслина,1,Любишь маслины или оливки?,
аромат_цветочный_липа,1,Нравится запах липы?,
вкус_ягодный_ежевика,1,Любишь ежевику?,
аромат_травяной_шалфей,1,Будешь чай с шалфеем?,
аромат_травяной_бергамот,1,Любишь чай с бергамотом?,
аромат_цветочный_ирис,1,"Нравится, как пахнут ирисы?",
вкус_сладкий_конфетный_цуккат,1,Нравятся цуккаты?,
вкус_фруктовый_абрикос,1,Любишь абрикосы?,
вкус_сладкий_конфетный_карамель,1,Будешь карамельку?,
вкус_ягодный_шиповник,1,Попробовал бы отвар шиповника?,
вкус_ягодный_черная смородина,1,Любишь черную смородину?,
аромат_копчёность,1,Нравится запах копченостей?,
вкус_сладкий_выпечка_бисквит,1,Любишь бисквитное печенье?,
аромат_травяной_зелень,1,Добавляешь зелень в еду?,
аромат_жареный,1,Нравится как пахнет жареное мясо?,
аромат_цветочный_жасмин,1,Нравится запах жасмина?,
вкус_сладкий_ликер,1,Любишь ликеры?,
вкус_кокос,1,Люишь кокос?,
аромат_цветочный_ромашка,1,Нравится запах ромашки?,
аромат_древесный_смола,1,Нравится запах смолы?,
вкус_фруктовый_цитрусовый_гранат,1,Любишь гранат?,
вкус_ягодный_земляника,1,Любишь землянику?,
вкус_солоноватый,1,Будешь крекер?,
вкус_ягодный_клюква,1,Любишь клюкву?,
вкус_пряный_мускатный орех,1,Добавил бы мускатный орех в блюдо?,вкус_пряный_мускат
аромат_земля,1,Нравится запах дождя?,
вкус_фруктовый_папайя,2,Нравится вкус папайи?,
вкус_сладкий_конфетный_конфитюр,2,Любишь варенье?,вкус_сладкий_варенье
вкус_ягодный_крыжовник,2,Любишь крыжовник?,
аромат_цветочный_роза,2,Нравится запах роз?,
вкус_сладкий_конфетный_марципан,2,Съел бы конфеты с марципаном?,
вкус_ореховый_фундук,2,Любишь орехи?,
аромат_травяной_луг,2,Нравится аромат цветущего травняного луга?,
вкус_кофе,2,Пьеш кофе?,
аромат_пряный_лимонник,2,Как тебе запах лимона?,
вкус_лекарственнный_анис,2,Нравится запах аниса?,
аромат_древесный_можжевельник,2,Нравятся нотки можжевельника в джине?,
вкус_чай,2,Пьешь чай?,
аромат_травяной_лаванда,2,Нравится аромат лаванды?,
вкус_сладкий_выпечка_сдоба,2,Любишь сдобные булочки?,вкус_сладкий_выпечка_бриошь
вкус_фруктовый_ананас,2,Съел бы ананас?,
вкус_сухофрукты_чернослив,2,Любишь чернослив?,
аромат_пряный_сандал,2,Нравится запах благовоний?,аромат_пряный_благовоние
вкус_ягодный_малина,2,Любишь малину?,
вкус_ягодный_боярышник,2,Заварил бы чай с листьями боярышника?,
вкус_лекарственнный,2,У таблеток от кашля приятный вкус?,
вкус_фруктовый_банан,2,Любишь бананы?,
вкус_кофе_мокко,2,Пьешь кофе мокко?,
вкус_пряный_розмарин,2,"Добавляешь розмарин, когда готовишь?",
аромат_древесный_грибной,2,Любишь блюда с грибами?,аромат_грибной
вкус_зерновой_хлеб,2,"Бывает так, что свежеиспеченный хлеб просто не реально донести до дома не укусив пару раз?)",вкус_зерновой_хлебный
аромат_травяной_свежескошенная трава,2,Нравится как пахнет свежескошенная трава?,
вкус_фруктовый_цитрусовый_апельсин,2,Любишь апельсины?,
вкус_фруктовый_клубника,2,Будешь клубнику?,вкус_ягодный_клубника
вкус_фруктовый_манго,2,Хочешь манго?,
вкус_пряный_фенхель,3,Добавил бы фенхель в соус?,
вкус_кофе_эспрессо,3,Пьешь эспрессо по утрам?,
аромат_травяной_сухоцвет,3,Поставил бы на стол букет сухоцветов?,
аромат_цитрусовый_жимолость,3,Нравится аромат жимолости?,
вкус_сладкий_конфетный_помадка,3,Хочешь помадку?,
аромат_травяной_полевые цветы,3,Нравится запах полевых цветов?,
аромат_травяной_полынь,3,Нравится запах полыни?,
аромат_древесный_эвкалипт,3,Эвкалипт помогает при простуде?,
вкус_пряный_вяленое мясо,3,Попробовал бы вяленое мясо?,
аромат_древесный_яблоневый,3,Посадил бы яблони у себя на даче?,
аромат_цитрусовый_вербена,3,Нравится запах вербены?,
вкус_сухофрукты,3,Любишь сухофрукты?,
вкус_пряный_имбирь,3,Добавляешь имбирь в чай?,
вкус_фруктовый_дыня,3,Нравится дыня?,
вкус_фруктовый_цитрусовый_апельсиновый,3,Любишь апельсины?,
вкус_сливочный,3,Любишь сливочный вкус?,
аромат_цитрусовый,3,Нравятся цитрусовые нотки в парфюме?,
вкус_фруктовый_маракуя,4,Любишь маракую?,вкус_фруктовый_маракуйя
вкус_пряный_паприка,4,Добавил бы правприку в набор приправ для барбекю?,
вкус_сладкий_выпечка,4,Будешь булочку?,
вкус_фруктовый_яблоко,4,Будешь яблоко?,
вкус_фруктовый_цитрусовый_грейпфрут,4,Хочешь грецпфрут?,
вкус_пряный_перец,4,"Ещь острую, перченую пищу?",вкус_пряный_перченый
аромат_цветочный_фиалка,4,Выращивал бы фиалки у себя дома?,
аромат_травяной,4,Нравится травяной аромат?,
вкус_сладкий_конфетный_джем,4,Хочешь тосты с джемом на завтрак?,
аромат_травяной_полынь_эстрагон,4,Тебе приятен запах полыни?,
вкус_ореховый_кедровый орех,4,вкус_ореховый_кедровый орех,
аромат_лесной,4,Нравится запах леса?,
вкус_пряный_мята,4,Нравится мятная свежесть?,вкус_свежий_ментол
вкус_сладкий_ваниль,4,Добавил бы ваниль в пирожное?,
вкус_фруктовый_цитрусовый_лимон,5,Пьешь чай с лимоном?,
вкус_сладкий_выпечка_печение,5,Хочешь печеньку?,
вкус_ореховый_миндаль,5,Нравится миндаль?,
аромат_табак,5,Запах табака - приятен?,
вкус_кислый,5,Нравится вкус с кислинкой?,
вкус_сладкий_конфетный_шоколад,5,Любишь шоколад?,
аромат_дым,5,Нравится запах костра?,
аромат_древесный,5,Пользуешься духами с древесными нотами?,
аромат_цветочный_черёмуха,5,Приятен аромат черемухи?,
вкус_фруктовый_груша,5,Любишь груши?,
вкус_сладкий_конфетный_пастила,5,Съел бы пастилы?,
аромат_травяной_клевер,6,У клевера приятный запах?,
аромат_древесный_хвойный,6,Нравится аромат хвои?,
вкус_фруктовый_цитрусовый_лимонный,6,Любишь чай с лимоном?,
вкус_молочный,6,Любишь молочку?,
вкус_ягодный_смородина,6,Посалил бы смородину у себя на участке?,
аромат_древесный_мох,6,Мох приятно пахнет?,
вкус_сладкий_конфетный_лакрица,6,Кофеты с лакрицей - это вкусно?,
вкус_горький_прополис,6,Странный вопрос: нравится оттенок прополиса в зубной пасте?,
вкус_ореховый,7,Любишь орехи?,
аромат_травяной_кориандр,7,"Приправил бы еду кинзой? (как в грузинской кухне, например)",
вкус_фруктовый_слива,7,Любишь сливы?,
вкус_сладкий_мед,7,Добавил бы корень ревеня в салат?,
вкус_сладкий_конфетный_дюшес,7,Любил дюшес в детстве?,
вкус_ягодный_барбарис,8,Дюбишь барбариски?,
аромат_травяной_сено,8,Нравится запах сена?,
вкус_сладкий_выпечка_кекс,8,Может кусочек кекса?,
вкус_фруктовый_цитрусовый_лайм,8,Лайм сочетается с алкоголем? (текила не в счет),
вкус_травяной_одуванчик,8,Хочешь попробовать вино из одуваничков?,
вкус_кислый_ревень,8,Добавил бы корень ревеня в салат?,
вкус_сладкий_конфетный_леденец,8,Хочешь леденец?,
вкус_молочный_йогурт,8,Позавтракал бы йогуртом?,
вкус_сладкий_конфетный_торт,8,Как насчет тортика?,
вкус_фруктовый_вишня,8,Любишь вишню?,
вкус_сладкий_конфетный_пралине,9,Попробовал бы пралине?,
вкус_древесный_хвойный_сосновный,9,Прогулялся бы в сосновом лесу?,
вкус_ореховый_грецкий орех,9,А как насчет грецких орехов?,
вкус_фруктовый_киви,9,Любишь киви?,
вкус_ягодный_алыча,9,Нравится вкус алычи?,
аромат_цветочный_орхидея,9,Любишь запах орхидей?,
аромат_цветочный_календула,10,Нравится запах календулы?,
вкус_ягодный_кизил,10,Кизил сочетается с алкоголем?,
аромат_древесный_каштан,11,Любил собирать каштаны в детстве?,
вкус_ягодный_черноплодный,11,А черноплодную рябину попробовал бы?,
вкус_ягодный_рябина,11,Попробовал бы рябину?,
вкус_сладкий_конфетный_нуга,12,Любишь ореховую нугу?,
вкус_зерновой_овсянка,13,Овсянка по утрам - это вкусно?,
вкус_сладкий_конфетный,14,Будешь конфету?,
аромат_цветочный,15,Покупаешь духи/одеколон с цветочными нотами?,
вкус_фруктовый_персик,16,Любишь персики?,
вкус_фруктовый_цитрусовый,18,Любишь цитрусовые?,вкус_цитрусовый
вкус_пряный,23,Как насчет специй в еде?,
вкус_сладкий,28,Любишь сладкое?,
вкус_ягодный,49,Людишь ягоды?,
вкус_фруктовый,89,Хочешь фруктов?,
